0
29-Dec-20
MRM
Medirom Healthcare
$15.00 
$10.30 
-31.33%
24-Dec-20
VTAQ
Ventoux CCM Acquisition
$10.00 
$9.89 
-1.10%
23-Dec-20
IKT
Inhibikase Therapeutics
$10.00 
$6.21 
-37.90%
23-Dec-20
GBS
"GBS, Inc."
$17.00 
$6.81 
-59.94%
23-Dec-20
HCAR
Healthcare Services Acquisition
$10.00 
$9.85 
-1.55%
23-Dec-20
CFIV
CF Acquisition IV
$10.00 
$9.89 
-1.10%
23-Dec-20
VII
7GC & Co. Holdings
$10.00 
$9.85 
-1.50%
23-Dec-20
VHAQ
Viveon Health Acquisition
$10.00 
$9.84 
-1.60%
21-Dec-20
ACKIT
Ackrell SPAC Partners I
$10.00 
$9.99 
-0.10%
18-Dec-20
SVOK
Seven Oaks Acquisition
$10.00 
$9.91 
-0.90%
18-Dec-20
GFX
Golden Falcon Acquisition
$10.00 
$9.83 
-1.70%
18-Dec-20
MASS
908 Devices
$20.00 
$53.80 
169.00%
18-Dec-20
DUNE
Dune Acquisition
$10.00 
$9.74 
-2.60%
18-Dec-20
MTAC
MedTech Acquisition
$10.00 
$9.94 
-0.60%
18-Dec-20
IIII
Insu Acquisition III
$10.00 
$9.95 
-0.50%
17-Dec-20
MDWT
Midwest Holding
$70.00 
$51.02 
-27.11%
17-Dec-20
SCOA
ScION Tech Growth I
$10.00 
$9.92 
-0.80%
17-Dec-20
COOL
Corner Growth Acquisition
$10.00 
$9.83 
-1.70%
17-Dec-20
VIRI
Virios Therapeutics
$10.00 
$6.16 
-38.40%
16-Dec-20
WISH
ContextLogic
$24.00 
$18.84 
-21.50%
16-Dec-20
UPST
Upstart Holdings
$20.00 
$60.79 
203.95%
16-Dec-20
CCV
Churchill Capital V
$10.00 
$10.27 
2.70%
16-Dec-20
SCPS
Scopus Biopharma
$5.50 
$9.89 
79.82%
16-Dec-20
BCAB
BioAtla
$18.00 
$66.96 
272.00%
15-Dec-20
WNW
Wunong Net Technology
$5.00 
$11.48 
129.60%
15-Dec-20
KINZ
Kins Technology Group
$10.00 
$9.85 
-1.50%
15-Dec-20
MRAC
Marquee Raine Acquisition
$10.00 
$10.14 
1.40%
15-Dec-20
OCG
Oriental Culture Holding
$4.00 
$10.60 
165.00%
15-Dec-20
BLUW
Blue Water Acquisition
$10.00 
$10.01 
0.10%
15-Dec-20
ATA
Americas Technology Acquisition
$10.00 
$9.92 
-0.80%
11-Dec-20
ABCL
AbCellera Biologics
$20.00 
$36.29 
81.45%
11-Dec-20
NBTX
Nanobiotix
$13.50 
$16.05 
